date,basis,basis_z,signal,gross_return,transaction_cost,funding_cost,net_return,equity_curve
2024-04-24,-0.0006159970053083441,-2.1610751444167686,-1.0,-3.976585339131593e-06,0.0,3.968253968253968e-06,-7.944839307385562e-06,0.9982248981109306
2024-04-25,-0.0003029994330692176,-1.4410897625194032,-1.0,6.25995144478252e-06,0.0,3.968253968253968e-06,2.291697476528552e-06,0.9982271857404106
2024-04-26,-0.00033265680875693704,-1.4444608511933699,-1.0,-5.931475137543711e-07,0.0,3.968253968253968e-06,-4.561401482008339e-06,0.9982226324254462
2024-04-27,-0.0006459495422461714,-1.9767849797055546,-1.0,-6.265854669784687e-06,0.0,3.968253968253968e-06,-1.0234108638038656e-05,0.998212416506581
2024-04-28,-0.0004804807942910827,-1.5798044878013382,-1.0,3.3093749591017773e-06,0.0,3.968253968253968e-06,-6.588790091521908e-07,0.998211758805373
2024-04-29,-0.0003695919809292292,-1.3199252696495085,-1.0,2.217776267237064e-06,0.0,3.968253968253968e-06,-1.7504777010169041e-06,0.9982100114579484
2024-04-30,-0.000342885782830038,-1.2311816890392053,-1.0,5.341239619838581e-07,0.0,3.968253968253968e-06,-3.43413000627011e-06,0.9982065834749955
2024-05-01,-0.000983436031686935,-2.3301221646335333,-1.0,-1.2811004977137893e-05,0.0,3.968253968253968e-06,-1.6779258945391862e-05,0.9981898343082504
2024-05-02,-0.00040492032082184437,-1.2018118478422293,-1.0,1.1570314217301835e-05,0.0,3.968253968253968e-06,7.602060249047867e-06,0.9981974226075108
2024-05-03,-0.00045030962927583573,-1.2412148397495824,-1.0,-9.077861690797839e-07,0.0,3.968253968253968e-06,-4.876040137333752e-06,0.9981925553568132
2024-05-04,-0.0004358299906233043,-1.1740325870312485,-1.0,2.8959277305063954e-07,0.0,3.968253968253968e-06,-3.6786611952033285e-06,0.9981888833445944
2024-05-05,-0.0003750000043929447,-1.0357658675612191,-1.0,1.216599724607191e-06,0.0,3.968253968253968e-06,-2.751654243646777e-06,0.9981861366739175
2024-05-06,-0.00035453022781162247,-0.9671948610248831,-1.0,4.09395531626429e-07,0.0,3.968253968253968e-06,-3.558858436627539e-06,0.9981825842707637
2024-05-07,-0.00025808920399406077,-0.7730613322275697,-1.0,1.928820476351247e-06,0.0,3.968253968253968e-06,-2.039433491902721e-06,0.9981805485437704
2024-05-08,-0.0005742498396283935,-1.282138149261163,-1.0,-6.323212712686685e-06,0.0,3.968253968253968e-06,-1.0291466680940654e-05,0.9981702758019134
2024-05-09,-0.00037915035097491057,-0.9093979251793867,-1.0,3.9019897730696584e-06,0.0,3.968253968253968e-06,-6.626419518430964e-08,0.9981702096589635
2024-05-10,-0.0003600977813764672,-0.8476305338640256,-1.0,3.8105139196884137e-07,0.0,3.968253968253968e-06,-3.5872025762851267e-06,0.9981666290202158
2024-05-11,-0.0002760714248335461,-0.6765497295295769,-1.0,1.6805271308584224e-06,0.0,3.968253968253968e-06,-2.2877268373955457e-06,0.9981643454876303
2024-05-12,-0.0004585984813214594,-0.9650299426837943,-1.0,-3.6505411297582788e-06,0.0,3.968253968253968e-06,-7.618795098012247e-06,0.9981567406780079
2024-05-13,-0.00044464864193827225,-0.9093899968908216,-1.0,2.789967876637347e-07,0.0,3.968253968253968e-06,-3.6892571805902334e-06,0.9981530582210849
2024-05-14,-0.0004384056043189588,-0.8695202322335097,-1.0,1.2486075238625147e-07,0.0,3.968253968253968e-06,-3.843393215867717e-06,0.9981492219263925
2024-05-15,-0.00046985276041588975,-0.89559731981523,-1.0,-6.28943121938532e-07,0.0,3.968253968253968e-06,-4.5971970901925e-06,0.9981446332376939
2024-05-16,-0.00026844936008174614,-0.5099978207870615,-1.0,4.028068006682855e-06,0.0,3.968253968253968e-06,5.981403842888681e-08,0.9981446929407553
2024-05-17,-0.0006566968386216843,-1.1820130712751702,-1.0,-7.764949570798784e-06,0.0,3.968253968253968e-06,-1.1733203539052753e-05,0.9981329815059116
2024-05-18,-0.00045291446744677444,-0.7777563494459393,-1.0,4.075647423498195e-06,0.0,3.968253968253968e-06,1.0739345524422723e-07,0.9981330886988612
2024-05-19,-0.0005223622392165339,-0.8764600812395134,-1.0,-1.388955435395196e-06,0.0,3.968253968253968e-06,-5.357209403649164e-06,0.9981277414908923
2024-05-20,0.0002782109876022787,0.6069487521676679,-1.0,1.60114645363764e-05,0.0,3.968253968253968e-06,1.204321056812243e-05,0.998139762153457
2024-05-21,0.00029162510218050386,0.646306599630834,-1.0,2.682822915645185e-07,0.0,3.968253968253968e-06,-3.6999716766894496e-06,0.9981360690646076
2024-05-22,0.0007584597965131223,1.5131583297534776,-1.0,9.33669388665238e-06,0.0,3.968253968253968e-06,5.368439918398412e-06,0.9981414274981247
2024-05-23,0.0004449525720886527,0.917459415489915,-1.0,-6.270144488489376e-06,0.0,3.968253968253968e-06,-1.0238398456743345e-05,0.9981312081284739
2024-05-24,0.0004974693120214368,1.034595060810619,-1.0,1.0503347986556757e-06,0.0,3.968253968253968e-06,-2.9179191695982924e-06,0.9981282956622879
2024-05-25,0.0003438549171033145,0.7563873980713347,-1.0,-3.0722878983624447e-06,0.0,3.968253968253968e-06,-7.040541866616413e-06,0.998121268298234
2024-05-26,0.0002427170839265358,0.5938666873797351,-1.0,-2.022756663535582e-06,0.0,3.968253968253968e-06,-5.99101063178955e-06,0.9981152885431038
2024-05-27,0.0003624241506603454,0.8617502701855627,-1.0,2.3941413346761854e-06,0.0,3.968253968253968e-06,-1.5741126335777826e-06,0.9981137173972183
2024-05-28,0.0006154683267212135,1.3921746343075727,-1.0,5.060883521217324e-06,0.0,3.968253968253968e-06,1.092629552963356e-06,0.9981148079657632
2024-05-29,0.0005065793354201986,1.1914246873391068,-1.0,-2.17777982602029e-06,0.0,3.968253968253968e-06,-6.146033794274258e-06,0.9981086735184229
2024-05-30,0.0007360626481336396,1.6895229413776862,-1.0,4.589666254268816e-06,0.0,3.968253968253968e-06,6.21412286014848e-07,0.9981092937554155
2024-05-31,0.0005608435031785319,1.3940876018826374,-1.0,-3.50438289910214e-06,0.0,3.968253968253968e-06,-7.472636867356108e-06,0.9981018352471093
2024-06-01,0.0004772581426397693,1.2362211728618666,-1.0,-1.6717072107752572e-06,0.0,3.968253968253968e-06,-5.639961179029225e-06,0.9980962059915057
2024-06-02,0.000594077549827432,1.4990446554780898,-1.0,2.336388143753254e-06,0.0,3.968253968253968e-06,-1.631865824500714e-06,0.9980945772324177
