entry_z,exit_z,regression_window,zscore_window,annual_return,annual_volatility,sharpe,max_drawdown,avg_gross_leverage
1.5,1.0,60,90,-0.00939638809262644,0.005030018894084374,-1.868062186342321,-0.04154962550039054,0.012087003925835069
1.5,1.0,90,30,-0.01247872181310361,0.0050805839195338575,-2.4561589791136704,-0.05594323135486878,0.016006590348774174
1.5,1.0,90,60,-0.01040837277477391,0.004998276477833063,-2.082392364834993,-0.04587037237863212,0.01344590561075694
1.5,1.0,90,90,-0.007565574869081604,0.004694768050600885,-1.6114906609951227,-0.03475345489828585,0.011320908612263864
1.5,1.0,120,30,-0.011838472473341799,0.005030293989955787,-2.3534355043622113,-0.052387830934901625,0.01541416626494391
1.5,1.0,120,60,-0.00842135540377964,0.004826903681844018,-1.7446702811692394,-0.03717115749194422,0.012415832270982493
1.5,1.0,120,90,-0.009103119009800542,0.004510551161920461,-2.0181832957914394,-0.04028210525472842,0.010511835155851804
2.0,0.25,60,30,-0.006710885230962971,0.005465603287092752,-1.2278397970835175,-0.032593669397783964,0.022375833231406052
2.0,0.25,60,60,-0.004817109209797055,0.005329421312919052,-0.903870969652915,-0.02374595908123467,0.017061129123081834
2.0,0.25,60,90,-0.005790950593587141,0.005256766541868041,-1.1016183708111322,-0.027029771087644594,0.015456652669522052
2.0,0.25,90,30,-0.006895025406197797,0.005525434674975575,-1.2478702241155852,-0.0317870672508771,0.021801319629572026
2.0,0.25,90,60,-0.006226740260456665,0.005124223003659829,-1.2151579382882818,-0.028862716267693767,0.0167240596534163
2.0,0.25,90,90,-0.005449438776030102,0.005193814979244117,-1.049216962446203,-0.025816302687375337,0.014016313770333449
2.0,0.25,120,30,-0.006888412609377559,0.005573645767230688,-1.2358899178481741,-0.03132895967255889,0.020775379299950474
2.0,0.25,120,60,-0.004479305224165175,0.005423043673215219,-0.8259762402963429,-0.02139936934707054,0.01550724417628624
2.0,0.25,120,90,-0.00520951724636165,0.005460582962899946,-0.9540221770744853,-0.02508839186054579,0.013526822201808253
2.0,0.5,60,30,-0.008525041258610533,0.004567728268788938,-1.8663634868259829,-0.038632135400144096,0.01497411584137603
2.0,0.5,60,60,-0.006369845984278144,0.004554821545839162,-1.3984842040841339,-0.02906283605423632,0.012335334460580563
2.0,0.5,60,90,-0.006730750926518758,0.004855725391803057,-1.3861473587202706,-0.030543594546691644,0.01070168084429667
2.0,0.5,90,30,-0.007012467170559145,0.004668409018930641,-1.5021107066932708,-0.03155941476704294,0.014710613944824634
2.0,0.5,90,60,-0.007096060202538168,0.004758160007742465,-1.491345434157632,-0.03201026524400108,0.011950422139981598
2.0,0.5,90,90,-0.006500604413825939,0.004648546399416858,-1.3984165920429263,-0.029197471416844034,0.009751428964910215
2.0,0.5,120,30,-0.007740085952074427,0.004767752633577431,-1.6234243986493775,-0.03482282929155722,0.014192696424928514
2.0,0.5,120,60,-0.004268378819648477,0.004556563402986085,-0.9367539617359983,-0.020176099469503828,0.011048413564873802
2.0,0.5,120,90,-0.0064083862064578945,0.004555591788853126,-1.406707734906865,-0.028951907158676793,0.009486332743865114
2.0,1.0,60,30,-0.007809278985326906,0.004098042518980637,-1.9056119962536204,-0.03493442572200278,0.010590983089252572
2.0,1.0,60,60,-0.006009259444329174,0.003914925579877064,-1.5349613477244886,-0.02695317606800418,0.008622422433109756
2.0,1.0,60,90,-0.005864464279027759,0.004104818881627788,-1.4286779631802353,-0.026170104497170832,0.0075804998988981505
2.0,1.0,90,30,-0.0068500834814285705,0.004140935315245792,-1.6542358090473992,-0.03086085519908055,0.010367128861530666
2.0,1.0,90,60,-0.005923258861634695,0.0040277179369093,-1.470624049255036,-0.02636869907367345,0.008293140256460564
2.0,1.0,90,90,-0.005823715099182225,0.0038466463090980523,-1.5139720762493885,-0.0259587985592713,0.006937468185192567
2.0,1.0,120,30,-0.007498654040779318,0.0040129420915866595,-1.8686175553095157,-0.033500059779186575,0.009959743515314135
